source_id,source_type,url,captured_at
steam-store-rift-of-the-necrodancer-b039,official_store,https://store.steampowered.com/app/2073250/,2026-08-15T04:19:26Z
steam-store-rogue-legacy-2-b002,official_store,https://store.steampowered.com/app/1253920/,2026-08-13T11:14:47Z
steam-store-roots-of-pacha-b002,official_store,https://store.steampowered.com/app/1245560/,2026-08-13T11:13:43Z
steam-store-salt-and-sanctuary-b008,official_store,https://store.steampowered.com/app/283640/,2026-08-14T01:49:09Z
steam-store-satisfactory-b012,official_store,https://store.steampowered.com/app/526870/,2026-08-14T03:18:24Z
steam-store-shadow-tactics-blades-of-the-shogun-b015,official_store,https://store.steampowered.com/app/418240/,2026-08-14T07:57:23Z
steam-store-skul-the-hero-slayer-b007,official_store,https://store.steampowered.com/app/1147560/,2026-08-14T01:46:01Z
steam-store-skyrim-special-edition-b020,official_store,https://store.steampowered.com/app/489830/,2026-08-14T11:21:35Z
steam-store-split-fiction-b028,official_store,https://store.steampowered.com/app/2001120/,2026-08-14T16:53:16Z
steam-store-stardew-valley-b002,official_store,https://store.steampowered.com/app/413150/,2026-08-13T11:12:42Z
steam-store-sun-haven-b002,official_store,https://store.steampowered.com/app/1432860/,2026-08-13T11:13:48Z
steam-store-synth-riders-b063,official_store,https://store.steampowered.com/app/885000/,2026-08-15T12:43:15Z
steam-store-team-fortress-2-b043,official_store,https://store.steampowered.com/app/440/,2026-08-15T06:29:14Z
steam-store-the-case-of-the-golden-idol-b012,official_store,https://store.steampowered.com/app/1677770/,2026-08-14T03:20:00Z
steam-store-the-quarry-b046,official_store,https://store.steampowered.com/app/1577120/,2026-08-15T07:33:40Z
steam-store-the-walking-dead-b032,official_store,https://store.steampowered.com/app/207610/,2026-08-14T23:51:26Z
steam-store-the-walking-dead-the-final-season-b060,official_store,https://store.steampowered.com/app/866800/,2026-08-15T12:36:07Z
steam-store-the-witcher-3-b020,official_store,https://store.steampowered.com/app/292030/,2026-08-14T11:21:18Z
steam-store-until-dawn-b046,official_store,https://store.steampowered.com/app/2172010/,2026-08-15T07:33:27Z
steam-store-valheim-b002,official_store,https://store.steampowered.com/app/892970/,2026-08-13T11:13:30Z
steam-store-wartales-b067,official_store,https://store.steampowered.com/app/1527950/,2026-08-15T15:32:37Z
steam-store-wylde-flowers-b002,official_store,https://store.steampowered.com/app/1896700/,2026-08-13T11:13:59Z
